name,nickname
Robert Drysdale,Robert
Daniel McWilliams,The Animal
Dan Molina,Dan
Paul Ruiz,Paul
Collin Huckbody,All In
Gerald Strebendt,The Finishing Machine
Isaiah Hill,Isaiah
Kenneth Seegrist,Kenneth
Will Kerr,Will
Neil Grove,Goliath
Raphael Butler,The Silencer
Bo Nickal,Bo
Ian Entwistle,Enty
Megumi Fujii,Mega Megu
Gaston Reyno,Tonga
Kenny Ento,Tha' Dragon
AJ McKee,Mercenary
Westin Wilson,Westin
Philip Perez,Philip
Brandon Shuey,Big Dawg
Dave Phillips,The Rockstar
Johnny Sampaio,Johnny
Dione Barbosa,The Witch
Zach Reese,Savage
Rodrigo Gripp de Sousa,Riscado
Justin Burlinson,Justin
Poppies Martinez,The Tachi Kid
Josh Rafferty,Josh
Daniel Puder,Daniel
Yukio Sakaguchi,Yukio
Magomed Sultanakhmedov,Magomed
Jeff Newton,Jeff
Emiliano Sordi,He-Man
Erik Apple,Erik
Fazlo Mulabitinovic,Fazlo
J.T Taylor,The Outlaw
Adam Meredith,Adam
Klayton Mai,Klayton
Ron Keslar,Ron
Bobby McAndrews,Bobby
Ansar Chalangov,Ansar
Jeremiah Constant,Jeremiah
Paul Sass,Paul_1_7.00
Eddy Millis,Eddy
James Lee,James
Mikhail Iloukhine,Mikhail
Kyle Jensen,Kyle
Ilya Kotau,Ilya
Trevor Harris,Trevor
Jinnosuke Kashimura,Jinnosuke
Tom Erikson,The Big Cat
Jason Black,The Black Legion
Francisco France,Kiko
John Albert,Prince
Daniel Swain,Daniel_1_2.00
Neiman Gracie,Neiman
Shamil Gaziev,Shamil
Masakatsu Funaki,Masakatsu
David Terrell,The Soul Assassin
Rob MacDonald,Maximus
Nick Barnes,Nick
Matt Arroyo,No Regard
Diego Lopes,Diego
Colin Robinson,Big C
Nick Garcia,Nitro
Justin Levens,The Executioner
Mike Ciesnolevicz,Mike
Magno Almeida,Magno
George Pacurariu,Constantine
Ronaldo Candido,Pacman
Alex Schoenauer,Alex
Justin Guthrie,Justin_1_2.00
Billy Pasulatan,Billy
Aaron Ely,The Cyborg
Shohei Nose,Shohei
TJ Waldburger,TJ
Ronda Rousey,Rowdy
Nik Theotikos,Nik
Valentijn Overeem,Valentijn
Keith Rockel,Rock
Mark Hughes,Mark
Jimmy Flick,The Brick
Kaline Medeiros,The Dark Angel
Takeru Uchida,Takeru
Joe Pearson,The Triangular Strangler
Jordan Bailey,Jordan
Branden Lee Hinkle,The Iron Lion
Goiti Yamauchi,Goiti
Masakatsu Okuda,Masakatsu_1_1.60
